Artist,Listeners,Years Active,Members,URL
Coldplay,"7,682,451",1996 – present (28 years),"Chris Martin (1996 – present), Guy Berryman (1997 – present), Jonny Buckland (1996 – present), Phil Harvey (1998 – present), Will Champion (1998 – present)",https://www.last.fm/music/Coldplay
Linkin Park,"5,640,473",1996 – present (28 years),"Brad Delson (1996 – 2017), Chester Bennington (1999 – 2017), Colin Brittain (2024 – present), Dave Farrell (1996 – present), Emily Armstrong (2024 – present)",https://www.last.fm/music/Linkin+Park
Paramore,"4,406,050",2004 – present (20 years),"Hayley Williams (2002 – present), Hunter Lamb (2005 – 2007), Jason Bynum (2002 – 2005), Jeremy Davis (2002 – 2015), John Hembree (2005 – 2005)",https://www.last.fm/music/Paramore
Red Hot Chili Peppers,"6,179,794",1983 – present (41 years),"Anthony Kiedis (1983 – 1998), Arik Marshall (1992 – 1993), Chad Smith (1988 – present), Cliff Martinez (1983 – 1986), D.H. Peligro (1988 – 1988)",https://www.last.fm/music/Red+Hot+Chili+Peppers
My Chemical Romance,"3,878,180",2001 – present (23 years),"Bob Bryar (2004 – 2010), Frank Iero (2002 – present), Gerard Way (2001 – present), James Dewees (2012 – 2013), Matt Pelissier (2001 – 2004)",https://www.last.fm/music/My+Chemical+Romance
David Bowie,"4,741,361",Not found,Not found,https://www.last.fm/music/David+Bowie
Foo Fighters,"5,466,358",1994 – present (30 years),"Chris Shiflett (1999 – present), Dave Grohl (1994 – present), Franz Stahl (1997 – 1999), Josh Freese (2023 – present), Nate Mendel (1995 – present)",https://www.last.fm/music/Foo+Fighters
Panic! at the Disco,"3,780,087",2004 – 2023 (19 years),"Brendon Urie (2004 – 2023), Brent Wilson (2004 – 2006), Dallon Weekes (2010 – 2015), Jon Walker (2006 – 2009), Ryan Ross (2004 – 2009)",https://www.last.fm/music/Panic!+at+the+Disco
Weezer,"4,482,888",1992 – present (32 years),"Brian Bell (1993 – present), Jason Cropper (1992 – 1993), Josh Freese (2009 – 2012), Matt Sharp (1992 – 1998), Mikey Welsh (1998 – 2001)",https://www.last.fm/music/Weezer
Maroon 5,"5,471,117",2002 – present (22 years),"Adam Levine (2001 – present), James Valentine (2001 – present), Jesse Carmichael (2001 – present), Matt Flynn (2006 – present), Mickey Madden (2001 – present)",https://www.last.fm/music/Maroon+5
Kings of Leon,"4,447,578",1999 – present (25 years),"Caleb Followill, Jared Followill, Matthew Followill, Nathan Followill",https://www.last.fm/music/Kings+of+Leon
U2,"4,355,173",1976 – present (48 years),"Adam Clayton, Bono, Larry Mullen, Jr., Terry Lawless, The Edge",https://www.last.fm/music/U2
The White Stripes,"4,194,148",1997 – 2011 (13 years),"Jack White (1997 – 2011), Meg White (1997 – 2011)",https://www.last.fm/music/The+White+Stripes
Evanescence,"3,457,939",1995 – present (29 years),"Amy Lee (1995 – present), Ben Moody (1995 – 2003), David Hodges (1999 – 2002), Emma Anzai (2022 – present), Jen Majura (2015 – present)",https://www.last.fm/music/Evanescence
OneRepublic,"3,766,865",Not found,Not found,https://www.last.fm/music/OneRepublic
The Cranberries,"3,797,596",1989 – 2019 (30 years),"Dolores O'Riordan (1990 – 2018), Fergal Lawler (1989 – present), Mike Hogan (1989 – present), Niall Quinn (1989 – 1990), Noel Hogan (1989 – present)",https://www.last.fm/music/The+Cranberries
Rage Against the Machine,"3,674,792",1991 – 2024 (32 years),"Brad Wilk, Tim Commerford, Tom Morello, Zack de la Rocha",https://www.last.fm/music/Rage+Against+the+Machine
R.E.M.,"3,816,828",1980 – 2011 (31 years),"Bill Berry (1980 – 1997), Joey Waronker, Michael Stipe (1980 – 2011), Mike Mills (1980 – 2011), Peter Buck (1980 – 2011)",https://www.last.fm/music/R.E.M.
Bruce Springsteen,"3,005,688",Not found,Not found,https://www.last.fm/music/Bruce+Springsteen
The Velvet Underground,"2,805,395",1964 – 1996 (32 years),"Angus MacLise (1965 – 1965), Billy Yule (1970 – 1970), Doug Yule (1968 – 1973), John Cale (1965 – 1996), Lou Reed (1965 – 1996)",https://www.last.fm/music/The+Velvet+Underground
Måneskin,"1,392,178",2016 – present (8 years),"Damiano David, Ethan Torchio, Thomas Raggi, Victoria",https://www.last.fm/music/M%C3%A5neskin
